page_name,gender_streamer,age,country,num_followers,platform,streamed_game1,streamed_game2,streamed_game3,date_started,page_link,year_started
burg,male,18,Philippines,169022,Facebook,Valorant,Phasmophobia,Rust,2020-05-22,https://www.facebook.com/gaming/rsnburg,2020
Razzie Binx,male,-1,Philippines,797062,Facebook,Valorant,Mobile Legends,At Dead of Night,2015-02-28,https://www.facebook.com/gaming/RealRazzieBinx,2015
Ling2x,female,-1,Philippines,159088,Facebook,Valorant,APEX Legends,Call Of Duty: Warzone,2017-10-26,https://www.facebook.com/gaming/L1NG2X,2017
Juweljems,male,17,Philippines,7320,Facebook,Valorant,Phasmophobia,Among Us,2020-08-21,https://www.facebook.com/gaming/juweljems,2020
Diviny,female,-1,Philippines,32456,Facebook,Valorant,APEX Legends,Phasmophobia,2018-05-10,https://www.facebook.com/gaming/ddiviny,2018
Rammyb,male,19,Philippines,267,Facebook,Valorant,none,none,2020-10-23,https://www.facebook.com/gaming/rammybb,2020
KCky,female,-1,Philippines,36778,Facebook,Valorant,DOTA 2,Among Us,2019-06-25,https://www.facebook.com/gaming/KacelynWxC,2019
Old Noob Gaming,male,-1,Philippines,53764,Facebook,Valorant,Minecraft,Mobile Legends,2019-07-08,https://www.facebook.com/gaming/JRiseGaming,2019
Redg Gaming,female,-1,Philippines,626,Facebook,Valorant,none,none,2021-02-15,https://www.facebook.com/gaming/RedgTheGamer,2021
Fuoco TV,male,19,Philippines,1477,Facebook,Valorant,Gran Theft Auto V,none,2021-01-26,https://www.facebook.com/FuocoTV,2021
Daze,male,20,Philippines,234,Facebook,Valorant,Phasmophobia,none,2020-12-24,https://www.facebook.com/gaming/Daaazeee,2020
Jatskenesis,male,20,Philippines,148,Facebook,Valorant,Phasmophobia,Little Nightmares,2021-01-24,https://www.facebook.com/gaming/Jatskinesis,2021
Illoumanatee,male,21,Philippines,71,Facebook,Valorant,Mobile Legends,none,2021-01-30,https://www.facebook.com/gaming/illoumanatee,2021
Deeznuts Gaming,male,-1,Philippines,116,Facebook,Gran Theft Auto V,Call of Duty: Mobile,none,2021-01-03,https://www.facebook.com/gaming/DEEZNUTSGAMING16,2021
PrayDator,male,-1,Philippines,289,Facebook,Valorant,APEX Legends,Mobile Legends,2021-01-10,https://www.facebook.com/gaming/PrayDatorGaming,2021
Noctile,male,-1,Philippines,28274,Facebook,Valorant,APEX Legends,It takes two,2018-03-27,https://www.facebook.com/gaming/NoctileTV,2018
Sabs TV,male,-1,Philippines,500961,Facebook,Valorant,Among Us,Mobile Legends,2020-08-14,https://www.facebook.com/gaming/SabsTVofficial,2020
M&Ns Gaming,male,-1,Philippines,294,Facebook,APEX Legends,Genshin Impact,Valorant,2021-02-01,https://www.facebook.com/gaming/mnnsgaming,2021
amaratv,female,-1,Philippines,95239,Facebook,Valorant,APEX Legends,Resident Evil,2020-07-07,https://www.facebook.com/gaming/amaratvamara,2020
LiquidLuck Gaming,female,-1,Philippines,177,Facebook,Valorant,none,none,2021-04-16,https://www.facebook.com/gaming/LiquidLuckTV,2021
Eson Esports,male,-1,Philippines,45952,Facebook,Valorant,Mobile Legends,Outlast II,2019-01-03,https://www.facebook.com/gaming/eson.ml,2019
Borkum,male,-1,Philippines,10341,Facebook,Valorant,none,none,2020-07-09,https://www.facebook.com/gaming/BORKUMM,2020
FNCruzin,female,-1,Philippines,300,Facebook,Stardew Valley,Genshin Impact,Overwatch,2019-07-16,https://www.facebook.com/gaming/fncruzin,2019
Tweeya Gaming,female,-1,Philippines,15853,Facebook,Valorant,It takes Two,Crossfire,2019-02-10,https://www.facebook.com/gaming/tweeya,2019
ChrisM,male,-1,Philippines,8093,Facebook,Valorant,Call of Duty: Mobile,none,2020-03-21,https://www.facebook.com/ChrissM09/,2020
Chan Malapaz,male,-1,Philippines,22148,Facebook,Valorant,Fortnite,none,2019-01-22,https://www.facebook.com/gaming/chaanmanlapaz,2019
JhovanSanity,male,-1,Philippines,6299,Facebook,Valorant,Mobile Legends,none,2020-06-05,https://www.facebook.com/JhovanTV.Official/videos,2020
"Oscar ""Kakarot"" Farin Jr.",male,-1,Philippines,8446,Facebook,Valorant,CS:GO,none,2019-02-12,https://www.facebook.com/gaming/jepotkakarot,2019
Colmerainz,male,-1,Philippines,231033,Facebook,Valorant,PUBG Mobile ,Call Of Duty: Warzone,2020-06-02,https://www.facebook.com/gaming/col.me.rainz,2020
Bristopher,male,-1,Philippines,3330,Facebook,Valorant,Dark Souls,none,2020-08-08,https://www.facebook.com/watch/BristopherGG/,2020
Zen Gaming,male,-1,Philippines,140,Facebook,Valorant,none,none,2021-03-25,https://www.facebook.com/Zen.valorant/?ref=page_internal,2021
Martinie,female,-1,Philippines,633,Facebook,Valorant,Monster Hunter,none,2021-03-31,https://www.facebook.com/watch/martinieLIVE/,2021
JattisLive,male,-1,Philippines,52,Facebook,Valorant,APEX Legends,Call Of Duty: Warzone,2020-10-16,https://www.facebook.com/watch/jatt1slive/,2020
Ulfa,male,-1,Philippines,1100,Facebook,Valorant,Phasmophobia,Minecraft,2019-11-30,https://www.facebook.com/officialUlfa,2019
fusetv,male,-1,Philippines,243,Facebook,Valorant,Outlast II,CS:GO,2021-02-07,https://www.facebook.com/watch/fusetv.gg/,2021
Pizzaza,male,-1,Philippines,321,Facebook,Valorant,DOTA,OSU!,2020-12-31,https://www.facebook.com/watch/PizzazaPlays/,2020
Mehuehue,male,-1,Philippines,191,Facebook,Valorant,none,none,2021-01-19,https://www.facebook.com/watch/Mehuehue/,2021
SeannieeeV,male,-1,Philippines,682,Facebook,Valorant,Fortnite,Call Of Duty: Warzone,2020-07-16,https://www.facebook.com/watch/SeannieeeV/,2020
Mr cheng Gaming,male,-1,Philippines,1082,Facebook,DOTA 2,Genshin Impact,Terraria,2020-01-22,https://www.facebook.com/gaming/Mr-cheng-Gaming-110014043876480,2020
Chikito,male,-1,Philippines,955,Facebook,DOTA 2,NBA 2K21,none,2020-06-07,https://www.facebook.com/gaming/Chikito-100871194985162,2020
DonP,male,-1,Philippines,18530,Facebook,Valorant,Gran Theft Auto V,Mobile Legends,2020-10-01,https://www.facebook.com/gaming/DonP.Cholo,2020
Rainycorn Stampede,male,-1,Philippines,1165,Facebook,Valorant,Legue of Legends: Wild Rift,Tom Clancy's Rainbow Six Seige,2020-01-12,https://www.facebook.com/gaming/Rainycorn1228,2020
Jolidofc,male,-1,Philippines,31251,Facebook,Valorant,Call Of Duty: Warzone,Roblox,2020-06-04,https://www.facebook.com/gaming/Jolidofc,2020
Gkbaby,male,-1,Philippines,5307,Facebook,Valorant,DOTA 2,APEX Legends,2019-02-05,https://www.facebook.com/gaming/Gkgaming09,2019
Niño Cosme,male,-1,Philippines,69,Facebook,Valorant,DOTA 2,Devil May Cry 5,2021-02-16,https://www.facebook.com/gaming/whatsupnins,2021
Banorant Gaming,female,-1,Philippines,215,Facebook,Valorant,none,none,2021-04-30,https://www.facebook.com/gaming/banorantgamers,2021
Jase,male,-1,Philippines,290,Facebook,Valorant,none,none,2021-03-22,https://www.facebook.com/gaming/Duavyy,2021
REKT,male,-1,Philippines,141,Facebook,Valorant,none,none,2021-04-14,https://www.facebook.com/gaming/rektyarn,2021
K U E G E R,male,-1,Philippines,14,Facebook,Valorant,none,none,2021-02-28,https://www.facebook.com/gaming/K-U-E-G-E-R-109912697592640/,2021
Denz Gaming,male,-1,Philippines,216,Facebook,Valorant,Control,Legue of Legends,2021-08-22,https://www.facebook.com/gaming/Dfrondz3/,2021
GoodyGoods,male,-1,Philippines,908,Facebook,Valorant,DOTA 2,Phasmophobia,2019-01-08,https://www.facebook.com/gaming/GoodyGoodsGaming/,2019
Jessievash,male,-1,Philippines,22114,Facebook,Valorant,Roblox,DOTA 2,2014-04-18,https://www.facebook.com/JessieVashCuyco/,2014
Mutya,female,-1,Philippines,154731,Facebook,Valorant,PUBG ,none,2019-06-27,https://www.facebook.com/mutyaFPS/?ref=page_internal,2019
Narpim,male,-1,Philippines,71031,Facebook,Valorant,PUBG ,Warzone,2019-03-26,https://www.facebook.com/NarpimTV/?ref=page_internal,2019
2Staxx,male,-1,Philippines,262000,Facebook,League of Legends,Valorant,Wildrift,2017-02-10,https://www.facebook.com/2Staxx,2017
Maggiekarp,female,-1,Philippines,180132,Facebook,Valorant,League of Legends,Apex,2019-01-17,https://www.facebook.com/Magukarp/?ref=page_internal,2019
Anne B. Mateo,female,28,Philippines,5400000,Facebook,Warzone,Valorant,PUBG,2017-04-26,https://www.facebook.com/annbmateo,2017
ABATMAN,male,-1,Philippines,33144,Facebook,Valorant,Warzone,none,2020-05-13,https://www.facebook.com/ABATMANfps,2020
Supermj,male,19,Philippines,17707,Facebook,Valorant,CS:GO,League of Legends,2020-05-03,https://www.facebook.com/SuperMJfps,2020
Een Mercado,female,-1,Philippines,414059,Facebook,Valorant,Mobile Legends,League of Legends,2016-07-22,https://www.facebook.com/eenmercado,2016
Apupeng Gaming,female,21,Philippines,79,Facebook,Valorant,none,none,2020-09-30,https://www.facebook.com/apupenggaming/?ref=page_internal,2020
Alodia Gosiengfiao,female,33,Philippines,7491615,Facebook,Valorant,Warzone,League of Legends,2018-03-14,https://www.facebook.com/AlodiaGosiengfiao/?ref=page_internal,2018
Biancake,female,23,Philippines,2445467,Facebook,DOTA 2,League of Legends,Wildrift,2017-04-23,https://www.facebook.com/BiancakeGaming/?ref=page_internal,2017
Renejay,male,17,Philippines,3600000,Facebook,Mobile Legends,none,none,2019-07-30,https://www.facebook.com/Renejayofficial,2019
Yawi Esports,male,-1,Philippines,2000000,Facebook,Mobile Legends,none,none,2020-04-14,https://www.facebook.com/yawiesports,2020
H2WO,male,20,Philippines,2542181,Facebook,Mobile Legends,none,none,2019-08-12,https://www.facebook.com/H2woOfficial,2019
GHOST Wrecker,male,-1,Philippines,4792591,Facebook,Mobile Legends,Rules of Survival,none,2018-08-10,https://www.facebook.com/ghostwrecker28,2018
Nanay Gaming,female,46,Philippines,776000,Facebook,Mobile Legends,none,none,2020-06-07,https://www.facebook.com/nanaygamingtv,2020
Ghost Diablo,male,20,Philippines,53017,Facebook,Valorant,Rules of Surivival,none,2019-08-26,https://www.facebook.com/Gdiablogaming,2019
ChooxTv,male,30,Philippines,9900000,Facebook,Mobile Legends,none,none,2017-08-19,https://www.facebook.com/CHoOxTV,2017
Kafi,female,-1,Philippines,7727,Facebook,Valorant,It Takes Two,none,2021-01-07,https://www.facebook.com/heyitskafi,2021
Shirkeybars,female,-1,Philippines,43041,Facebook,Valorant,Mobile Legends,none,2020-06-20,https://www.facebook.com/watch/shirkeybars/,2020
Basic Gaming,male,-1,Philippines,646924,Facebook,Mobile Legends,Valorant,none,2020-01-02,https://www.facebook.com/OfficialBasic/,2020
Kaysee Gregorio,female,-1,Philippines,770151,Facebook,Valorant,Mobile Legends,none,2021-02-18,https://www.facebook.com/itskaysee/,2021
HerbertwY,male,-1,Philippines,21837,Facebook,Valorant,Fall Guys,CS:GO,2019-03-29,https://www.facebook.com/HerbertwY/,2019
Buunja,female,-1,Philippines,924504,Facebook,Wildrift,Valorant,League of Legends,2018-09-14,https://www.facebook.com/Buunja/,2018
Nuts about Gaming,female,-1,Philippines,87160,Facebook,Valorant,Warzone,PUBG,2018-04-14,https://www.facebook.com/NutsAboutGaming,2018
GianSanity,male,-1,Philippines,132971,Facebook,Valorant,Apex,none,2019-02-23,https://www.facebook.com/watch/GianSanityFPS/,2019
Christine Samson,female,-1,Philippines,2039520,Facebook,Call of Duty: Mobile,none,none,2019-07-24,https://www.facebook.com/christinesamsonn,2019
Aeriel Ann Garcia,female,21,Philippines,413362,Facebook,PUBG,none,none,2018-05-25,https://www.facebook.com/aerielgrcia/,2018
Mika Daime,female,-1,Philippines,189237,Facebook,Valorant,League of Legends,none,2016-01-19,https://www.facebook.com/DaimeMika/,2016
SketcyWolf,male,-1,Philippines,44605,Facebook,Valorant,PUBG,CS:GO,2018-10-30,https://www.facebook.com/SketchyWolf-295428434607585,2018
Occidere Gaming,male,-1,Philippines,2752,Facebook,Valorant,Pacify,none,2020-06-24,https://www.facebook.com/OccidereGaming/,2020
Thug Gaming PH,male,-1,Philippines,22786,Facebook,Valorant,Rules  of Survial,none,2018-04-29,https://www.facebook.com/thuggamingph/,2018
Chammie,female,-1,Philippines,12093,Facebook,Valorant,none,none,2020-10-04,https://www.facebook.com/Sammiecham/,2020
Yohannade,female,-1,Philippines,207,Facebook,Valorant,none,none,2020-12-25,https://www.facebook.com/yohannadeee/,2020
GenjiPewpew,male,-1,Philippines,326,Facebook,Valorant,Grand Chase,League of Legends,2020-09-14,https://www.facebook.com/gijenlive/,2020
Potparis,female,-1,Philippines,1691,Facebook,Valorant,League of Legends,none,2020-09-26,https://www.facebook.com/PotpotParis/,2020
KOGChaos gaming,male,-1,Philippines,7152,Facebook,Valorant,Genshin Impact,Fall Guys,2020-09-11,https://www.facebook.com/KOGChaosPH/,2020
Godrilla Squad,male,-1,Philippines,667,Facebook,Valorant,League of Legends,Grand Chase ,2020-02-14,https://www.facebook.com/godrillasquad/,2020
JNSEN,male,-1,Philippines,291,Facebook,Valorant,DOTA 2,none,2020-08-26,https://www.facebook.com/Jansenity/,2020
s1nx,male,-1,Philippines,669,Facebook,Valorant,League of Legends,Genshin Impact,2020-08-29,https://www.facebook.com/itsS1NX/,2020
Ardeeyar,male,-1,Philippines,372,Facebook,Valorant,Resident Evil 2 Remake,none,2020-11-30,https://www.facebook.com/ardeeyar/,2020
Lueur,female,-1,Philippines,36726,Facebook,Valorant,League of Legends,none,2019-07-24,https://www.facebook.com/lueurlolph/,2019
Ghost Gaming ,male,-1,Philippines,769,Facebook,Valorant,Mobile Legends,DOTA 2,2020-06-12,https://www.facebook.com/ghostggph/,2020
Cute Potato Gaming,female,22,Philippines,5705,Facebook,Valorant,League of Legends,none,2020-07-31,https://www.facebook.com/CutePotatorere/,2020
Kristel Millado,female,-1,Philippines,2165205,Facebook,Call of Duty: Mobile,Mobile Legends,Rules of Survival,2019-02-13,https://www.facebook.com/kristelmillado24/,2019
Jacques Gaming ,male,-1,Philippines,547,Facebook,League of Legends,Valorant,GTA V,2020-10-05,https://www.facebook.com/JacquesGaming09/,2020
Annie_Chaaan,female,-1,Philippines,12464,Facebook,Valorant,League of Legends,Fortnite,2018-05-30,https://www.facebook.com/Anniebchaaan/,2018
MC Gaming,male,-1,Singapore,4485,Facebook,Valorant,Fortnite,none,2020-07-25,https://www.facebook.com/MC-Gaming-980182042016525/,2020
Venzee,male,-1,Philippines,929,Facebook,Valorant,none,none,2020-10-06,https://www.facebook.com/venzeeFPS/,2020
Glocogaming,male,-1,Philippines,573591,Facebook,Valorant,Genshin Impact,Sea of Thieves,2017-07-26,https://www.facebook.com/GLOCOgaming,2017
Vanilla,male,-1,Philippines,8200,Twitch,Minecraft,Valorant,Fortnite,2021-02-28,https://www.twitch.tv/vanilla/videos?filter=archives&sort=time,2021
rojeanviel,female,-1,Philippines,2800,Twitch,Valorant,Overcooked 2,Scribble,2021-04-13,https://www.twitch.tv/rojeanviel,2021
sillykonpeito,female,-1,Philippines,10888,Facebook,Mobile Legends,League of Legends,Stardew Valley,2019-01-27,https://www.facebook.com/sillykonpeito,2019
Enviosity,male,-1,US,277000,Twitch,Genshin Impact,none,none,2020-07-23,https://www.twitch.tv/Enviosity,2020
Tectone,male,-1,Canada,295000,Twitch,Genshin Impact,none,none,2016-07-04,https://www.twitch.tv/tectone,2016
Tuner,male,-1,US,32000,Twitch,Genshin Impact,Monster Hunter,none,2020-11-07,Twitch.TV/Tuner,2020
AsianGuyStream,male,-1,UK,76900,Twitch,Genshin Impact,none,none,2020-10-12,https://www.twitch.tv/asianguygenshin,2020
OkCode,male,-1,UK,82300,Twitch,Genshin Impact,none,none,2019-12-18,https://www.twitch.tv/okcode,2019
mishyshen,female,-1,unavailable,1800,Twitch,Genshin Impact,none,none,2021-04-09,https://www.twitch.tv/mishyshen,2021
Xlice,male,-1,US,72700,Twitch,Genshin Impact,none,none,2017-07-28,https://www.twitch.tv/xlice,2017
SirBlindz,male,-1,US,2600,Twitch,Genshin Impact,none,none,2021-02-12,https://www.twitch.tv/SirBlindz,2021
zcosy,female,-1,Australia,24600,Twitch,Genshin Impact,none,none,2021-03-06,https://www.twitch.tv/zcosy,2021
Jelledot,male,-1,unavailable,14500,Twitch,Genshin Impact,none,none,2017-05-07,https://www.twitch.tv/jelledot,2017
KiLimePie,male,-1,US,12600,Twitch,Genshin Impact,none,none,2020-08-18,https://www.twitch.tv/KiLimePie,2020
itsKaystar,female,-1,Canada,6200,Twitch,Genshin Impact,none,none,2021-03-06,https://www.twitch.tv/itskaystar,2021
Zajef77,male,-1,unavailable,2100,Twitch,Genshin Impact,none,none,2021-04-21,https://www.twitch.tv/zajef77,2021
charlized,female,-1,New Zealand,1800,Twitch,Genshin Impact,none,none,2021-04-18,https://www.twitch.tv/charlized,2021
lanceletsgo,male,-1,US,3300,Twitch,Genshin Impact,Animal Crossing,none,2020-06-07,https://www.twitch.tv/lanceletsgo,2020
MaryMaybe,female,-1,US,115000,Twitch,Genshin Impact,League of Legends,none,2018-04-15,https://www.twitch.tv/MaryMaybe,2018
Chantilly_cake,female,-1,US,1900,Twitch,Genshin Impact,none,none,2021-04-21,https://www.twitch.tv/Chantilly_cake,2021
lerritay,female,-1,Russia,1900,Twitch,Genshin Impact,none,none,2021-03-06,https://www.twitch.tv/lerritay,2021
AaronHongry,male,-1,unavailable,756,Twitch,Genshin Impact,none,none,2021-05-01,https://www.twitch.tv/AaronHongry,2021
